date,prefecture,average
2018/4/4,kobe,18.3
2018/4/4,kushiro,3.3
2018/4/5,nagoya,15.2
2018/4/5,kobe,14.6
2018/4/5,kushiro,1.9
2018/4/6,nagoya,17.2
2018/4/6,kobe,16.9
2018/4/6,kushiro,0.1
2018/4/7,nagoya,10.7
2018/4/7,kobe,10.5
2018/4/7,kushiro,1.2
2018/4/8,nagoya,8.3
2018/4/8,kobe,8.9
2018/4/8,kushiro,2.8
2018/4/9,nagoya,10.2
2018/4/9,kobe,11.9
2018/4/9,kushiro,3.6
2018/4/10,nagoya,13.5
2018/4/10,kobe,15.1
2018/4/10,kushiro,3.8
2018/4/11,nagoya,16.5
2018/4/11,kobe,17.6
2018/4/11,kushiro,4.8
2018/4/12,nagoya,18
2018/4/12,kobe,17.9
2018/4/12,kushiro,5.4
2018/4/13,nagoya,14.5
2018/4/13,kobe,15
2018/4/13,kushiro,1.9
2018/4/14,nagoya,14.5
2018/4/14,kobe,14.8
2018/4/14,kushiro,3.3
2018/4/15,nagoya,13
2018/4/15,kobe,15
2018/4/15,kushiro,2.1
2018/4/16,nagoya,13.6
2018/4/16,kobe,13.7
2018/4/16,kushiro,3.9
2018/4/17,nagoya,13.3
2018/4/17,kobe,14.9
2018/4/17,kushiro,5.6
2018/4/18,nagoya,15.7
2018/4/18,kobe,16.1
2018/4/18,kushiro,5.7
2018/4/19,nagoya,16.8
2018/4/19,kobe,17.4
2018/4/19,kushiro,6.1
2018/4/20,nagoya,19.6
2018/4/20,kobe,19.3
2018/4/20,kushiro,6.9
2018/4/21,nagoya,19.8
2018/4/21,kobe,19.7
2018/4/21,kushiro,8.3
2018/4/22,nagoya,21.1
2018/4/22,kobe,19.8
2018/4/22,kushiro,7.3
2018/4/23,nagoya,20.2
2018/4/23,kobe,20.2
2018/4/23,kushiro,5
2018/4/24,nagoya,18.4
2018/4/24,kobe,19.2
2018/4/24,kushiro,6.2
2018/4/25,nagoya,17.9
2018/4/25,kobe,17.2
2018/4/25,kushiro,6
2018/4/26,nagoya,17.7
2018/4/26,kobe,16.4
2018/4/26,kushiro,7.8
2018/4/27,nagoya,18.9
2018/4/27,kobe,17.9
2018/4/27,kushiro,8.1
2018/4/28,nagoya,19.1
2018/4/28,kobe,17.6
2018/4/28,kushiro,6.1
2018/4/29,nagoya,19.4
2018/4/29,kobe,19.4
2018/4/29,kushiro,8.3
2018/4/30,nagoya,19
2018/4/30,kobe,19.6
2018/4/30,kushiro,10.7
2018/5/1,nagoya,21.5
2018/5/1,kobe,20.5
2018/5/1,kushiro,10.6
2018/5/2,nagoya,19.4
2018/5/2,kobe,20.2
2018/5/2,kushiro,8.1
2018/5/3,nagoya,18.9
2018/5/3,kobe,18.9
2018/5/3,kushiro,5.1
2018/5/4,nagoya,15.6
2018/5/4,kobe,15.9
2018/5/4,kushiro,6.4
2018/5/5,nagoya,18.3
2018/5/5,kobe,18.3
2018/5/5,kushiro,7.7
2018/5/6,nagoya,19.5
2018/5/6,kobe,18.7
2018/5/6,kushiro,6.7
2018/5/7,nagoya,16.8
2018/5/7,kobe,18.4
2018/5/7,kushiro,8.4
2018/5/8,nagoya,17.5
2018/5/8,kobe,17.9
2018/5/8,kushiro,5.6
2018/5/9,nagoya,16.4
2018/5/9,kobe,16.1
2018/5/9,kushiro,4.3
2018/5/10,nagoya,14.8
2018/5/10,kobe,14.5
2018/5/10,kushiro,5.4
2018/5/11,nagoya,16.7
2018/5/11,kobe,16.7
2018/5/11,kushiro,8.6
2018/5/12,nagoya,19.2
2018/5/12,kobe,19.1
2018/5/12,kushiro,13
2018/5/13,nagoya,17.7
2018/5/13,kobe,18.4
2018/5/13,kushiro,9.9
2018/5/14,nagoya,20.9
2018/5/14,kobe,20.9
2018/5/14,kushiro,12.6
2018/5/15,nagoya,21.9
2018/5/15,kobe,21.3
2018/5/15,kushiro,12.1
2018/5/16,nagoya,22.5
2018/5/16,kobe,22.8
2018/5/16,kushiro,9.7
2018/5/17,nagoya,24.1
2018/5/17,kobe,23.4
2018/5/17,kushiro,12.2
2018/5/18,nagoya,25.6
2018/5/18,kobe,23.4
2018/5/18,kushiro,7.7
2018/5/19,nagoya,18
2018/5/19,kobe,17.2
2018/5/19,kushiro,7.4
2018/5/20,nagoya,17.2
2018/5/20,kobe,18.2
2018/5/20,kushiro,8.4
2018/5/21,nagoya,20.1
2018/5/21,kobe,21.1
2018/5/21,kushiro,9.8
2018/5/22,nagoya,20.3
2018/5/22,kobe,21
2018/5/22,kushiro,10.1
2018/5/23,nagoya,17.7
2018/5/23,kobe,19.3
2018/5/23,kushiro,11.9
2018/5/24,nagoya,21.3
2018/5/24,kobe,21.1
2018/5/24,kushiro,12.2
2018/5/25,nagoya,23
2018/5/25,kobe,23
2018/5/25,kushiro,10.5
2018/5/26,nagoya,22.8
2018/5/26,kobe,22.5
2018/5/26,kushiro,11
2018/5/27,nagoya,23.7
2018/5/27,kobe,22.1
2018/5/27,kushiro,10.9
2018/5/28,nagoya,22.4
2018/5/28,kobe,22.9
2018/5/28,kushiro,11.2
2018/5/29,nagoya,22.7
2018/5/29,kobe,23.5
2018/5/29,kushiro,11.5
2018/5/30,nagoya,19.5
2018/5/30,kobe,20.5
2018/5/30,kushiro,11.6
2018/5/31,nagoya,17.2
2018/5/31,kobe,19.8
2018/5/31,kushiro,13.4
2018/6/1,nagoya,21.3
2018/6/1,kobe,21.5
2018/6/1,kushiro,11.9
2018/6/2,nagoya,22.4
2018/6/2,kobe,21.2
2018/6/2,kushiro,14
2018/6/3,nagoya,22.9
2018/6/3,kobe,22.5
2018/6/3,kushiro,13.2
2018/6/4,nagoya,23.9
2018/6/4,kobe,23
2018/6/4,kushiro,13.9
2018/6/5,nagoya,23.6
2018/6/5,kobe,22.3
2018/6/5,kushiro,13.8
2018/6/6,nagoya,19.4
2018/6/6,kobe,20.1
2018/6/6,kushiro,15.9
2018/6/7,nagoya,22.6
2018/6/7,kobe,22.7
2018/6/7,kushiro,13.8
2018/6/8,nagoya,22.6
2018/6/8,kobe,23.1
2018/6/8,kushiro,12.6
2018/6/9,nagoya,24.1
2018/6/9,kobe,24.6
2018/6/9,kushiro,8.5
2018/6/10,nagoya,21.3
2018/6/10,kobe,22.6
2018/6/10,kushiro,9.3
2018/6/11,nagoya,24.1
2018/6/11,kobe,24.1
2018/6/11,kushiro,12.2
2018/6/12,nagoya,23.7
2018/6/12,kobe,21.6
2018/6/12,kushiro,8.5
2018/6/13,nagoya,22.7
2018/6/13,kobe,21
2018/6/13,kushiro,9.1
2018/6/14,nagoya,22.6
2018/6/14,kobe,21.5
2018/6/14,kushiro,10.3
2018/6/15,nagoya,21.6
2018/6/15,kobe,21.6
2018/6/15,kushiro,9.7
2018/6/16,nagoya,21.2
2018/6/16,kobe,20.8
2018/6/16,kushiro,7.6
2018/6/17,nagoya,21.8
2018/6/17,kobe,22.3
2018/6/17,kushiro,9
2018/6/18,nagoya,21
2018/6/18,kobe,24.4
2018/6/18,kushiro,11.4
2018/6/19,nagoya,23.1
2018/6/19,kobe,22.6
2018/6/19,kushiro,14
2018/6/20,nagoya,20.9
2018/6/20,kobe,21.8
2018/6/20,kushiro,13.2
