datetime,stockprice,price
2018/11/9,tradevolum,4920600
2018/12/10,openingprice,6720
2018/12/10,closingprice,6820
2018/12/10,highprice,6839
2018/12/10,lowprice,6720
2018/12/10,tradevolum,5380200
2018/12/11,openingprice,6800
2018/12/11,closingprice,6745
2018/12/11,highprice,6812
2018/12/11,lowprice,6738
2018/12/11,tradevolum,6559300
2018/12/12,openingprice,6800
2018/12/12,closingprice,6895
2018/12/12,highprice,6917
2018/12/12,lowprice,6776
2018/12/12,tradevolum,7932900
2018/12/13,openingprice,6910
2018/12/13,closingprice,6870
2018/12/13,highprice,6931
2018/12/13,lowprice,6854
2018/12/13,tradevolum,6603800
2018/12/14,openingprice,6822
2018/12/14,closingprice,6829
2018/12/14,highprice,6919
2018/12/14,lowprice,6812
2018/12/14,tradevolum,8176400
2018/12/17,openingprice,6794
2018/12/17,closingprice,6840
2018/12/17,highprice,6882
2018/12/17,lowprice,6789
2018/12/17,tradevolum,5162400
2018/12/18,openingprice,6751
2018/12/18,closingprice,6775
2018/12/18,highprice,6840
2018/12/18,lowprice,6744
2018/12/18,tradevolum,6068100
2018/12/19,openingprice,6775
2018/12/19,closingprice,6762
2018/12/19,highprice,6852
2018/12/19,lowprice,6743
2018/12/19,tradevolum,6868600
2018/12/20,openingprice,6760
2018/12/20,closingprice,6629
2018/12/20,highprice,6809
2018/12/20,lowprice,6607
2018/12/20,tradevolum,7156800
2018/12/21,openingprice,6489
2018/12/21,closingprice,6416
2018/12/21,highprice,6497
2018/12/21,lowprice,6401
2018/12/21,tradevolum,9602200
2018/12/25,openingprice,6175
2018/12/25,closingprice,6079
2018/12/25,highprice,6206
2018/12/25,lowprice,6056
2018/12/25,tradevolum,6961800
2018/12/26,openingprice,6129
2018/12/26,closingprice,6146
2018/12/26,highprice,6235
2018/12/26,lowprice,6045
2018/12/26,tradevolum,5505500
2018/12/27,openingprice,6394
2018/12/27,closingprice,6415
2018/12/27,highprice,6442
2018/12/27,lowprice,6338
2018/12/27,tradevolum,6694100
2018/12/28,openingprice,6365
2018/12/28,closingprice,6406
2018/12/28,highprice,6444
2018/12/28,lowprice,6316
2018/12/28,tradevolum,5048300
2018/12/3,openingprice,7000
2018/12/3,closingprice,7032
2018/12/3,highprice,7097
2018/12/3,lowprice,6970
2018/12/3,tradevolum,9283200
2018/12/4,openingprice,7049
2018/12/4,closingprice,6911
2018/12/4,highprice,7069
2018/12/4,lowprice,6907
2018/12/4,tradevolum,7465100
2018/12/5,openingprice,6844
2018/12/5,closingprice,6910
2018/12/5,highprice,6931
2018/12/5,lowprice,6820
2018/12/5,tradevolum,6383900
2018/12/6,openingprice,6947
2018/12/6,closingprice,6876
2018/12/6,highprice,7007
2018/12/6,lowprice,6817
2018/12/6,tradevolum,7798100
2018/12/7,openingprice,6927
2018/12/7,closingprice,6858
2018/12/7,highprice,6939
2018/12/7,lowprice,6814
2018/12/7,tradevolum,7562500
2018/2/1,openingprice,7520
2018/2/1,closingprice,7618
2018/2/1,highprice,7627
2018/2/1,lowprice,7500
2018/2/1,tradevolum,6382600
2018/2/13,openingprice,7480
2018/2/13,closingprice,7276
2018/2/13,highprice,7490
2018/2/13,lowprice,7250
2018/2/13,tradevolum,10105600
2018/2/14,openingprice,7282
2018/2/14,closingprice,7122
2018/2/14,highprice,7286
2018/2/14,lowprice,7080
2018/2/14,tradevolum,10693500
2018/2/15,openingprice,7194
2018/2/15,closingprice,7142
2018/2/15,highprice,7237
2018/2/15,lowprice,7121
2018/2/15,tradevolum,6726200
2018/2/16,openingprice,7193
2018/2/16,closingprice,7208
2018/2/16,highprice,7320
2018/2/16,lowprice,7160
2018/2/16,tradevolum,7113300
2018/2/19,openingprice,7254
2018/2/19,closingprice,7379
